Weiche Pflichten hat der Arbeitgeber bei der Einstellung von Personal?,prüfen ob der AN im Besitz des Führerscheines und des Personenbeförderungsscheines ist,Führerschein,Anmeldung zur Sozialversicherung (Krankenkasse),Übernahme der Arbeitgeberanteile,Lohnsteuerkarte,Einhaltung der arbeits- und sozialrechtliche Schutzbestimmungen (Arbeitszeitdauer Kündigungsschutz),überprüfen des Sozialversicherungsausweises,Fürsorgepflicht (Berufsgenossenschaft)
Wann findet eine Zwölftelung desselben je nach Beschäftigungsdauer statt?, tägliche Arbeitszeit und Pausen,"Eine Zwölftelung des Jahresurlaubs für jeden vollen Beschäftigungsmonat erfolgt beim Ausscheiden vor Erfüllung der Wartezeit. In Tarifverträgen wird meistens eine Zwölftelung des Urlaubs für alle Fälle des Ausscheidens im Laufe des Urlaubsjahres vorgenommen",Kündigungsfristen,Nein sie kann nicht mehr gekündigt werden,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Nur für Arbeitnehmer.,Durch Arbeitszeitgesetz (ArbZG)
Wann darf der Urlaubsanspruch in Geld abgegolten werden?,"Nach 6 Monaten (sog. Wartezeit) Anspruch auf den vollen Jahresurlaub.",nach 2 Jahren – 1 Monat nur zum Monatsende,Kündigungsfristen,"Beim Ausscheiden des AN wenn der Urlaub nicht in Natur gewährt werden kann hat der AN einen sog. „Urlaubsabgeltungsanspruch“.",AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Nur für Arbeitnehmer.,Durch Arbeitszeitgesetz (ArbZG)
Kann während der Krankheit gekündigt werden?,Führerschein,Führerschein zur Fahrgastbeförderung,"Ja es spricht eine Vermutung dafür dass wegen der Krankheit gekündigt worden ist. Folge: AG muss Lohn über den Kündigungszeitpunkt bis 6 Wochen fortzahlen",Krankenkasse angeben,Kündigung muss schriftlich erfolgen,Kontoverbindung angeben,Unterlagen über vermögenswirksame Leistungen,bei Ausländern: Aufenthalt- und Arbeitserlaubnis
Unter welchen Voraussetzungen kann ein freiwilliges Weihnachtsgeld zurückgefordert werden. wenn der AN im ersten Vierteljahr aufgrund einer Kündigung ausscheidet?,wenn der AN vor dem 31. März folgendes Jahres ausscheidet (mehr als 250 € und weniger als Monatslohn),"(x) Werkvertrag",Kündigungsfristen, durch Tarifvertrag können andere Regelungen bestehen,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Hinweis auf die Freiwilligkeit der Weihnachtsgratifikation führt allein nicht zu einem Rückforderungsanspruch,Durch Arbeitszeitgesetz (ArbZG)
Was ist bei der Kündigung eines Schwerbehinderten zu beachten?,•ist nur nach vorheriger Zustimmung der Hauptfürsorgestelle möglich,Einsatzort,Kündigungsfristen,Nein sie kann nicht mehr gekündigt werden,AG muss im Krankheitsfalle den Lohn bis zu 6 Wochen weiter zahlen. wenn die Krankheit unverschuldet ist,Bis zu 6 Wochen. wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,"in den ersten 6 Monaten der Beschäftigung kann die Kündigung ohne Zustimmung der Hauptfürsorgestelle ausgesprochen werden sie muss nur angezeigt werden.",Durch Arbeitszeitgesetz (ArbZG)
"Wie haftet ein AN bei einem von ihm verursachten Unfall im Straßenverkehr?",Führerschein,Führerschein zur Fahrgastbeförderung,"bei leichter Fahrlässigkeit - der Unternehmer kann den Schaden selbst tragen",Krankenkasse angeben,"bei normaler Fahrlässigkeit kann der Schaden zwischen Unternehmer und AN aufgeteilt werden",Kontoverbindung angeben,Unterlagen über vermögenswirksame Leistungen,"Bei grober Fahrlässigkeit und selbstverständlich bei Vorsatz muss der AN den Schaden voll ersetzen"
Wie sind Aushilfskräfte arbeitsrechtlich zu behandeln?, haben Urlaubsanspruch und Anspruch auf Lohnfortzah lung im Krankheitsfall,gelten die gleichen Kündigungsfristen wie für Vollzeit,Kündigungsschutzgesetz findet auf sie Anwendung. ,Durch Arbeitszeitgesetz (ArbZG), 4 Wochen zum 15. oder zum Monatsende,Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,"ist spätestens am Tag der Beschäftigungsaufnahme Meldung an die zuständige Krankenkasse zu machen (Sofortmeldung)",Wird ein Teilzeitbeschäftigter in ein Vollzeitarbeitsverhältnis übernommen oder umgekehrt so sind die Beschäftigungszeiten stets zusammenzurechnen
Wer trägt die Kosten in einem Arbeitsgerichtsverfahren?, der im Rechtsstreit unterliegt,bei Abschluss eines Vergleiches entfallen die gerichtlichen Kosten,Kosten für eine anwaltliche Vertretung in erster Instanz sowohl im Falle eines Vergleichs oder eines Urteils hat jede Partei selbst zu tragen,in der Berufungs- und in der Revisionsinstanz sind diese kosten vom Unterlegenen zu zahlen,Durch Arbeitszeitgesetz (ArbZG),Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Sozialversicherungsausweis, haben Urlaubsanspruch und Anspruch auf Lohnfortzah lung im Krankheitsfall
Hat ein AN in einem Betrieb mit 7 Mitarbeitern einen Anspruch auf Teilzeitarbeit?, haben Urlaubsanspruch und Anspruch auf Lohnfortzah lung im Krankheitsfall,gelten die gleichen Kündigungsfristen wie für Vollzeit,Dauer der Betriebszugehörigkeit,Kündigungsschutzgesetz findet auf sie Anwendung. ,Durch Arbeitszeitgesetz (ArbZG),Nein mehr als 15 AN beschäftigt.,Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,"ist spätestens am Tag der Beschäftigungsaufnahme Meldung an die zuständige Krankenkasse zu machen (Sofortmeldung)"
Welche Vorschrift gilt hinsichtlich der Arbeitszeit für TuMFahrer sowie Unternehmer?, der im Rechtsstreit unterliegt,bei Abschluss eines Vergleiches entfallen die gerichtlichen Kosten,"Für Taxi- und Mietwagenfahrer gilt das Arbeitszeitgesetz",in der Berufungs- und in der Revisionsinstanz sind diese kosten vom Unterlegenen zu zahlen,Durch Arbeitszeitgesetz (ArbZG),Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Bundesknappschaft Essen,nicht aber für selbst fahrende Unternehmer
Was ist beim Einsatz von Aushilfskräften zu beachten?,haben Urlaubsanspruch und Anspruch auf Lohnfortzah lung im Krankheitsfall,gelten die gleichen Kündigungsfristen wie für Vollzeit,der im Rechtsstreit unterliegt,"Aushilfsfahrer darf nicht mehr als 48 Wochenstd. arbeiten und am Tag nicht mehr als 10 Std. Arbeitszeit haben.",Durch Arbeitszeitgesetz (ArbZG),Nein mehr als 15 AN beschäftigt.,Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,"ist spätestens am Tag der Beschäftigungsaufnahme Meldung an die zuständige Krankenkasse zu machen (Sofortmeldung)"
Wer ist ein Nachtarbeitnehmer?, der im Rechtsstreit unterliegt,bei Abschluss eines Vergleiches entfallen die gerichtlichen Kosten,"• der regelmäßig in Wechselschicht mehr als 2 Std. während der Nachtzeit arbeitet oder",in der Berufungs- und in der Revisionsinstanz sind diese kosten vom Unterlegenen zu zahlen,Durch Arbeitszeitgesetz (ArbZG),Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,mind. 48 Tagen im Jahr mehr als 2 Std. Nachtarbeit hatte,nicht aber für selbst fahrende Unternehmer
Was muss der AG beachten wenn der AN einen Teil seines Einkommens vermögenswirksam anlegen will?,30 Min. mindestens bei Arbeitszeit von 6 bis zu 9 Std. , Führerschein,45 Min. bei einer Arbeitszeit von mehr als 9 Std.,"AG muss auf schriftlichen Antrag seines AN Teile des Arbeitslohnes vermögenswirksam anlegen",Sozialversicherungsausweis,"länger als 6 Std. hintereinander dürfen Arbeitnehmer nicht ohne Ruhepause beschäftigt werden.","Bis zu bestimmten Einkommenshöchstgrenzen erhält der AN eine staatliche Arbeitnehmersparzulage",Unterlagen über vermögenswirksame Leistungen
Nennen Sie 3 Befristungsmöglichkeiten für einen Arbeitsvertrag., der im Rechtsstreit unterliegt,bei Abschluss eines Vergleiches entfallen die gerichtlichen Kosten,Probezeit (längste 6 Monate),in der Berufungs- und in der Revisionsinstanz sind diese kosten vom Unterlegenen zu zahlen,"ohne sachlichen Grund bis 2 J. wobei eine 3-malige Verlängerung innerhalb der 2 J. möglich ist danach 4 Monate Pause",bei sachlichen Grund (z.B. Krankheits/Uzlaubsvertretung),mind. 48 Tagen im Jahr mehr als 2 Std. Nachtarbeit hatte,nicht aber für selbst fahrende Unternehmer
Der Personenbeförderungsvertrag ist die Sonderform eines bestimmten Vertragstyps. Welcher Grundvertragstyp liegt hier vor?,Mietvertrag ,gelten die gleichen Kündigungsfristen wie für Vollzeit,(x) Werkvertrag,"Aushilfsfahrer darf nicht mehr als 48 Wochenstd. arbeiten und am Tag nicht mehr als 10 Std. Arbeitszeit haben.",Durch Arbeitszeitgesetz (ArbZG),Dienstvertrag,Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Pachtvertrag.
Was ist abgaberechtlich ein „Minijob“?, der im Rechtsstreit unterliegt,bei Abschluss eines Vergleiches entfallen die gerichtlichen Kosten,Probezeit (längste 6 Monate),in der Berufungs- und in der Revisionsinstanz sind diese kosten vom Unterlegenen zu zahlen,"AN zahlt keine Sozialversicherungsbeiträge für Minijob max. 400 € AG zahlt Abgabepauschale von 25% • Zwischen 401-800 € zahlt AN seine Teil ansteigender Sozialabgaben zwischen 4% u. 21%.",bei sachlichen Grund (z.B. Krankheits/Uzlaubsvertretung),mind. 48 Tagen im Jahr mehr als 2 Std. Nachtarbeit hatte,nicht aber für selbst fahrende Unternehmer
Wo meldet man „Minijob“ an?, der im Rechtsstreit unterliegt,Bundesknappschaft Essen,Kosten für eine anwaltliche Vertretung in erster Instanz sowohl im Falle eines Vergleichs oder eines Urteils hat jede Partei selbst zu tragen,in der Berufungs- und in der Revisionsinstanz sind diese kosten vom Unterlegenen zu zahlen,Durch Arbeitszeitgesetz (ArbZG),Bis zu 6 Wochen wenn die Krankheit unverschuldet ist und eine Arbeitsunfähigkeitsbescheinigung vorliegt,Pachtvertrag, haben Urlaubsanspruch und Anspruch auf Lohnfortzah lung im Krankheitsfall
