,,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,,,,,,
,,,,,Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,,,
,,,,Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,,,,
,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,,,,,,,,
,Die Landesregierung oder die eingesetzte Genehmigungsbehörde bestimmt durch Rechtsverordnung die Höhe des Beförderungsentgeltes,,,,,,,
,,,,,,Darf der einzelne Taxiunternehmer von den festgesetzten Entgelten abweichen?,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,
,,,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,,,,,
,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,,Vorauszahlungen.,,die Abrechnung.,,die Zahlungsweise und,Sondervereinbarungen für den Pflichtfahrbereich.,
,Sondervereinbarungen für den Pflichtfahrbereich sind nur dann zulässig. wenn,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,ein bestimmter Zeitraum. eine Mindestfahrtenzahl oder ein Mindestumsatz im Monat festgelegt wird.,,,
,,,,,,,Ist ein Taxiunternehmer verpflichtet. die Vorschriften über die Beförderungsentgelte und bedingungen mitzuführen?,
,,Nein. jeder Taxifahrer ist verpflichtet. die in einer Tarif ordnung festgesetzte Anfahrberechnung auch zu kassieren.,,,,,,
,,,Der Fahrpreis muss durch einen beleuchtbaren Fahrpreisanzeiger (Taxameter) für den Fahrgast zu erkennen sein,,,,,
,,,,Das Beförderungsentgelt. getrennt nach Fahrpreis und Zuschlägen. und anzuwendende Tarifstufe.,,,,
,,,,,,,Nein. dies ist gesetzlich verboten,
,Das Beförderungsentgelt wird nach der gefahrenen Strecke berechnet,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und,der Fahrgast ist unverzüglich darauf aufmerksam zu machen und behoben werden. ,,,,,
,,,,Der Taxifahrer muss den Fahrgast vor Fahrtbeginn hinweisen. dass das Beförderungsentgelt für die gesamte Fahrstrecke frei zu vereinbaren ist. weil der Pflichtfahrbereich verlassen wird.,,,,
,,,,,,Ja. Tonrundfunkempfänger und -wiedergabegeräte dürfen während der Beförderung von Fahrgästen benutzt werden,,
,Ja. das Unterhaltungsverbot gilt nicht mehr für Taxen und Mietwagen.,,,,,,,,
,Die Vermietung von Taxis an Selbstfahrer ist verboten.,,,,,,,
,,Hauptuntersuchung HU.,Abgasuntersuchung AU,,,,,
,Halter und Fahrzeugführer.,,,,,,,
,,,Führerschein Klasse 3 und Führerschein für Fahrgastbeförderung,,,,,
,,,,,,,Der Unternehmer,
,,,,,,Der Fahrer muss alle notwendigen Dokumente haben.,,
,,,,Mietwagen dürfen nicht mit für Taxis vorbehaltenen Zeichen und die Merkmalen kenntlich gemacht werden,,,,
,,,Damit es keine Verwechslung mit den Taxi gibt.,,,,,
,Rückkehrpflicht.,,,Bereithalteverbot für mietwagenunternehmer,,,,
,,,Nein. Fahrgäste müssen Sicherheitsgurte anlegen. soweit sie vorhandeln sind.,,,,,
,In der Taxiordnung.,,,,,,,,
,,,,Bereithalten von Mietwagen. das zur Verwechslung mit dem Taxiverkehr führen kann. ist verboten.,,,,
,,Absprachen über Dienstbereitschaften in den Nachtstunden getroffen werden oder,,,,Bedienung eines Standplatzes nach einem für alle gültigen Einsatzplan erfolgt.,,
