,,,Handelsgesetz,Einkommensteuergesetz,Abgabenordnung,GmbH-Gesetz - zusätzlich bei Kapitalgesellschaften,•Aktiengesetz (bei Vorliegen der entsprechenden Rechtsform der Firma),
,,,Bei den Personengesellschaften haften die Gesellschafter unbeschränkt.,Bei den Kapitalgesellschaften ist die Haftung auf das Gesellschaftskapital beschränkt,,,,
,,,Kaufmann ist deren Firma ( als KG OHG GmbH) beim zuständigen Amtsgericht in Handelsregister eintragen ist.,,,,,
,,,• mbH bedeutet “mit beschränkter Haftung“,• Stammkapital muss 25.000 € betragen,,,,
,,,GmbH bedeutet: “Gesellschaft mit beschränkter Haftung“,Stammkapital in Höhe von 25.000 €,kann „1-Mann-GmbH“ sein,,,
,,,• AG – Aktiengesellschaft,• AG-Grundkapital in Höhe von 50.000 €,• eine oder mehrere Personen.,,,
,,,Der Scheck.,,,,,
,,,•Schuldner wird schriftlich durch Mahnbescheid zur Zahlung aufgefordert,zahlt er nicht kommt es zur Zwangsvollstreckung: Einbringen der Schuld erfolgt durch den Gerichtsvollzieher • zahlt er nicht kann der Gerichtsvollzieher das Vermögen des Schuldners pfänden und auch sofort einen Qffenbarungseid abnehmen. Der rechtskräftige Mahnbescheid ist über einen Zeitraum von 30 Jahren zu vollstrecken,,,,
,,,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw,,,,,
,,,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,,,,,
,,,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen,,,,,
,,,Er ist verpflichtet für jeden Arbeitnehmer auch für Aushilfen ein Lohnkonto (Lohnbuch) zu führen,,,,,
,,,Gewerbe ist eine selbständige planmäßige Betätigung die in der Absicht der Gewinnerzielung ausgeübt wird,,,,,
,,,Firma ist der Name unter der ein Kaufmann sein Geschäft betreibt und seine Unterschrift abgibt,,,,,
,,,• Gewerbeanmeldung,• Erlaubnis beantragen (Berufszugangsverordnung erfüllen),• Eintragung ins Handelsregister vornehmen lassen.,,,
,,,• muss zur Kennzeichnung des Kaufmannes geeignet sein,• Unterscheidungskraft besitzen,• Gesellschafts- sowie Haftungsverhältnis muss offen gelegt sein und,Geschäftspartner darf nicht durch irreführende Bezeichnung über die wesentlichen geschäftlichen Verhältnisse (z.B. den eigentlichen Geschäftszweck) getäuscht werden.,,
,,,Handelsbücher Inventare Bilanzen nach den sog. Grundsätzen ordnungsgemäßer Buchführung zu führen.,• im Interesse der Besteuerung zu erfüllen.,,,,
,,,• durch Gründung einer Kapitalgesellschaft (GmbH AG).,bei den Personengesellschaften - nur für die Kommanditisten in einer Kommanditgesellschaft (KG),,,,
,,,Die Personengesellschaft wird nicht besteuert; ihr Gewinn wird einheitlich festgestellt auf die Gesellschafter verteilt und dort zur Einkommensteuer herangezogen,,,,,
,,,Die Körperschaftsteuer.,,,,,
,,,Der Unternehmer wird von der unbeschränkten Haftung befreit. Das Risiko erstreckt sich auf das Gesellschaftskapital.,,,,,
,,,• Körperschaftsteuer nicht zu entrichten,• Haftung der Gesellschafter ist auf das Gesellschaftskapital beschränkt.,,,,
,,,aus der Beförderung von Personen resultierenden hohen finanziellen persönlichen und strafrechtlichen Risiken,• hohe Kapital- und Personalintensität,• Konjunkturlage und öffentliche Wettbewerb,• Einengung unternehmerischer Tätigkeit durch gesetzliche Beschränkungen.,,
,,,• Gesetz gegen unlauteren Wettbewerb (UWG),• Gesetz gegen Wettbewerbsbeschränkungen.,,,,
,,,Die guten Sitten im geschäftlichen Verkehr zu wahren. Unlauter ist Wettbewerb zum Beispiel wenn,• er auf täuschenden oder irreführenden Angaben beruht,• durch ihn psychologischer Kaufzwang ausgeübt wird,• er zur Geschäftsverletzung durch Anschwärzung von Mitkonkurrenten führt,• Angestellte und sonstiges Personal bestochen werden,• gewerberechtliche Vorschriften verletzt werden.
,,,Das Kassieren geringeres Entgeltes als es geltende Taxitarifordnung vorsieht.,,,,,
,,,Der Geschädigte hat einen Anspruch auf Unterlassung und Schadensersatz.,,,,,
,,,• die regelmäßige Verjährungsfrist beträgt 3 Jahre,• sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist.,,,,
,,,Die Haftung des Taxi- und Mietwagenunternehmer kann sich ergeben aus,Beförderungsvertrag,unerlaubter Handlung,• Gefährdungshaftung nach Straßenverkehrsgesetz.,,
,,,Kommt der Fahrgast aufgrund von Verschulden des Unternehmers oder seines Fahrers zu Schaden so kann er Schadensersatz verlangen.,,,,,
,,,Der Fahrgast kann bei vorsätzlicher oder fahrlässiger Ver,,,,,
,,,Der Schaden muss beim Betrieb des Kfz entstanden sein. Der Unternehmer ist nur dann nicht schadensersatzpflichtig wenn der Unfall auf unabwendbarem Ereignis beruht.,,,,,
,,,Für Sachenschäden die der Fahrgast hat kann der Unternehmer die Schadensersatzpflicht auf 1.000 € pro beförderte Person beschränken.,,,,,
,,,Nein wenn der Schaden auf Vorsatz oder grober Fahrlässigkeit beruht kann die Haftung nicht ausgeschlossen werden.,,,,,
,,,Nein,,,,,
,,,Ja er haftet aus Gefährdungshaftung nach StVO und aus unerlaubter Handlung,,,,,
,,,Ja der Halter muss nach dem Pflichtversicherungsgesetz eine Haftpflichtversicherung abschließen,,,,,
,,,Genauso wenn er selbst gefahren wäre.,,,,,
,,,• Barzahlung die auch durch Barscheck erfolgen kann,• Bargeldlose Zahlung erfolgt durch Scheck Wechsel Überweisung oder im Lastschriftverfahren,• Zahlung per Kreditkarte oder mittels Electronic Cash,• Aufrechnung mit einer Gegenforderung.,,
,,,Wenn eine Sache nur gegen vorherige Bezahlung des Nachnahmebetrages durch den Empfänger an ihn ausgeliefert werden darf,,,,,
,,,Ein Scheck ist schriftliche Zahlungsanweisung mit der der Aussteller seine Bank anweist von seinem Konto den Scheckbetrag dem Inhaber auszuzahlen.,,,,,
,,,Der Verrechnungsscheck weil keine Barauszahlung erfolgt sondern nur eine Verrechnung zwischen 2 Konten somit ist der Weg des Geldes nachvollziehbar,,,,,
,,,Im Barscheck schreibt man einfach oben “Nur zur Verrechnung“.,,,,,
,,,Ein schriftliches Zahlungsversprechen mit der der Bezogene angewiesen wird zu einem bestimmten Zeitpunkt den Wechselbetrag einzulösen.,,,,,
,,,Der Scheck ist ein Zahlungsmittel.,Der Wechsel ein Zahlungsversprechen.,,,,
,,,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,• Minderjährige mit Zustimmung des gesetzlich. Vertreters,,,,
,,,Nur dann wenn es die Geschäftslage bei genauer Überprüfung unbedingt erfordert und die spätere Einlösung auf jeden Fall gewährleistet ist.,,,,,
,,,Wenn man unterschrieben hat gleichgültig ob als Aussteller Bezogener Indossant oder als Wechselb,,,,,
,,,Ein Wechsel dient der Sicherung von gegebenen Krediten.,,,,,
,,,Der Gläubiger kann im Falle gerichtlicher Beitreibung den Schuldner im Wechselprozess verklagen der in kurzer Zeit durchzuführen ist und nur wenige und eng begrenzte Einwände zulässt.,,,,,
,,,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,,,,,
,,,Das Vertrauen das ein Unternehmer wegen seiner Zahlungsfähigkeit genießt und aufgrund dessen ihm ein Darlehen oder ein Zahlungsaufschub bewilligt wurde.,,,,,
,,,Bei der Anschaffung von neuen Fahrzeugen. (Finanzierung).,,,,,
,,,Durch Sicherungsübereignung des eigenen Fahrzeugs an eine Bank oder ein sonstiges Finanzierungsinstitut.,,,,,
,,,Auf die Höhe der zu entrichtenden Zinsen der Nebengebühren und des Disagios (Unterschied zwischen Nennbetrag und tatsächlicher Auszahlung,,,,,
,,,Ein ungesicherter Kredit der im Vertrauen auf die Person des Schuldners gegeben wird,,,,,
,,,• Kurzfristige Kredite: Kontokorrent- Wechselkredit.,• Langfristige Kredite: Hypothekenkredit Anleihe- oder Obligationskredit (oft unkündbar),,,,
,,,Indem er einen Mahnbescheid erwirkt.,,,,,
,,,Er muss innerhalb der im Mahnbescheid angegebenen Frist (2 Wochen ab Zustellung) Widerspruch bei dem den Mahnbescheid erlassenden Amtsgericht erheben.,,,,,
