Was ist Gelegenheitsverkehr?,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Dein entgeltliche und geschäftsmäßige Beförderung von Personen in Fahrzeugen die nicht im Linienverkehr fahren wo der Fahrgast Anfangs- und Endpunkt sowie Zwischenhaltestellen selbst bestimmt z.B. Taxen Mietwagen Ausflugsfahrten & Mietomnibussen,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Dienstleistungsvertrag
Was ist Linienverkehr?,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.,Der Linienverkehr hat bestimmte Anfangs- und Endpunkte wo der Fahrgast an festgelegten Haltestellen ein- und aussteigen kann. Bsp.: BVG,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr
Ist die Krankenbeförderung eine Form des Gelegenheitsverkehrs?,An behördlich zugelassenen Plätzen in der Betriebssitzgemeinde.,Ja wenn er frei is muss er sogar.,Nein,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Ja,Hell-Elfenbein Farbton RAL 1015,Min. 2 Türen auf der rechten Längsseite,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015
Gibt es Fahrzeuge mit einer Genehmigung für Taxi- & Mietwagenverkehr?,Bei vollständiger Besetzung min 50kg,BereitstellungspreisPreis für die Beförderung Preis für Wartezeiten Zuschläge,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Einmal im Jahr durch das Eichamt (Mietwagen: alle 2 Jahre),Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO),Ja aber nur in Gemeinden bis zu 50.000 Einwohnern und sofern die Behörde keine Einwände hat. (Mischkonzession),Warnweste jaFeuerlöscher nein,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.
Was sind Kraftfahrzeuge (Kfz)?,Werkvertrag,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.,Straßenfahrzeuge die durch eigene Maschinenkraft bewegt werden ohne an Schienen oder Fahrleitung gebunden zu sein,Ab dem 60. Lebensjahr muss eine besondere medizinische Eignungsprüfung bestanden werden.,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft,Wenn keine Beförderungsabsicht vorliegt.,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr
Was ist nach dem PBefG ein „Pkw“?,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),Pkw sind Kfz die nach ihrer Bauart und Ausstattung zur Beförderung von nicht mehr als 9 Personen (inkl. Fahrzeugführer) geeignet und bestimmt sind.,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.
4 subjektive Voraussetzungen wenn man ein Taxi- & Mietwagengewerbe betreiben möchten.,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,persönlich zuverlässig seinfinanziell leistungsfähig seinfachlich geeignet seinein Betriebssitz im Inland haben,Nein,Ja,Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015
Mit welchen Unterlagen könne sie ihre Zuverlässigkeit nachweisen?(3),An behördlich zugelassenen Plätzen in der Betriebssitzgemeinde.,polizeiliches Führungszeugnis Unbedenklichkeitsbescheinigung vom Finanzamt Krankenkasse und Berufsgenossenschaft Zeugnis Fachkundeprüfung,00 Promille,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO),Hell-Elfenbein Farbton RAL 1015,Min. 2 Türen auf der rechten Längsseite,00 Promille
Wie kann man die finanzielle Leistungsfähigkeit des Betriebs nachweisen?,Bei vollständiger Besetzung min 50kg,BereitstellungspreisPreis für die Beförderung Preis für Wartezeiten Zuschläge,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Durch eine Vermögensübersicht vom Steuerberater oder Hausbank.Für das erste Fahrzeug müssen 2.250€ und für jedes weitere Fahrzeug 1.250€ nachgewiesen werden. (Kontoauszug),Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft,Weiterleitung der Fahraufträge Vorbestellung durch Funk an die Taxen,Warnweste jaFeuerlöscher nein,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.
Was deutet auf die Unzuverlässigkeit des Antragstellers hin?(5),Rechtsgültige Verurteilungen und schwere Verstöße gegen das PBefGdas Arbeitsrecht SozialversicherungsvorschriftenStVZO StVO,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.,Dienstleistungsvertrag,Ab dem 60. Lebensjahr muss eine besondere medizinische Eignungsprüfung bestanden werden.,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Wenn keine Beförderungsabsicht vorliegt.,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Dienstleistungsvertrag
Was sind objektive Genehmigungsvoraussetzungen?,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Die Behörde prüft ob die Taxidichte den Einsatz eines neuen Unternehmens erlaubt.Dazu wird die wirtschaftliche Lage der anderen Unternehmen berücksichtigt (Geschäftsaufgaben Konkurse usw.) sowie die voraussichtliche Nachfrage. (=Beobachtungszeitraum),Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr
3 Einflussgrößen die die Genehmigungsbehörde bei ihrer Beurteilung der Funktionsfähigkeit des örtlichen Taxigewerbes berücksichtigten muss?,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Nachfrage nach Aufträgen TaxidichteAnzahl und Ursache der Geschäftsaufgaben,Nein,Ja,Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015
Welche Behörde ist für das Taxi- & Mietwagenunternehmen zuständig?,An behördlich zugelassenen Plätzen in der Betriebssitzgemeinde.,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),00 Promille,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO),Hell-Elfenbein Farbton RAL 1015,Min. 2 Türen auf der rechten Längsseite,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.
Was sind die wesentlichen Inhalte der Genehmigungsurkunde?(10),Bei vollständiger Besetzung min 50kg,BereitstellungspreisPreis für die Beförderung Preis für Wartezeiten Zuschläge,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Einmal im Jahr durch das Eichamt (Mietwagen: alle 2 Jahre),NameWohn- & Betriebssitz vom Unternehmer Verkehrsart Geltungsdauer der Genehmigung Bezeichnung der Aufsichtsbehörde Kennzeichen GenehmigungsnummerHersteller Fahrzeug-ID-Nr.Zahl der Sitzplätze Hinweis auf das PBefG,Weiterleitung der Fahraufträge Vorbestellung durch Funk an die Taxen,Warnweste jaFeuerlöscher nein,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO)
Wie viele Genehmigungen werden erteilt?,Werkvertrag,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.,Normalerweise 1 aber es können mehr beantragt werden vom Antragsteller.,Ab dem 60. Lebensjahr muss eine besondere medizinische Eignungsprüfung bestanden werden.,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Wenn keine Beförderungsabsicht vorliegt.,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft
Wie lange gilt eine Taxi- und Mietwagengenehmigung bei Ersterteilung höchstens?,2 Jahre für Taxen 5 Jahre für Mietwagen,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),Ja,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
Wird die Genehmigung nach Ablauf automatisch verlängert?,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.,Nein. Man muss einen Antrag stellen.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO),Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,Min. 2 Türen auf der rechten Längsseite,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
Für wie lange wird eine Taxi- & Mietwagengenehmigung höchstens verlängert?,An behördlich zugelassenen Plätzen in der Betriebssitzgemeinde.,Ja wenn er frei is muss er sogar.,5 Jahre,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft,Hell-Elfenbein Farbton RAL 1015,Warnweste jaFeuerlöscher nein,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO)
3 Hauptpflichten im Taxiverkehr?,Bei vollständiger Besetzung min 50kg,Beförderungspflicht (grundsätzlich jeder ist im Pflichtfahrgebiet zu befördern)Betriebspflicht (Taxi muss eventuell rund um die Uhr eingesetzt werden [min. 180 Tage/Jahr])Tarifpflicht (im Pflichtfahrgebiet ist Taxitarif anzuwenden),Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Einmal im Jahr durch das Eichamt (Mietwagen: alle 2 Jahre),Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Weiterleitung der Fahraufträge Vorbestellung durch Funk an die Taxen,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
Welche Regeln muss der Mietwagenunternehmer nach PBefG beachten?(4),Werkvertrag,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.,Dienstleistungsvertrag,darf nicht zu Verwechslungen mit Taxen führen AufzeichnungspflichtRückkehrpflichtes dürfen nur Aufträge ausgeführt werden die am Betriebssitz eingegangen sind,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Wenn keine Beförderungsabsicht vorliegt.,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Ja
Was passiert mit der Genehmigung wenn der Betriebssitz in eine andere Stadt verlegt wird?,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Genehmigung erlischt und muss in der andern Gemeinde/Stadt neu beantragt werden.,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),Ja,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO)
Welche Entscheidungen müssen durch die Behörden genehmigt werden?(5),Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.,Nein,Verkauf des Unternehmens Verlegung des BetriebssitzesVerpachtung NeuzulassungÜbertragen der Betriebsführung (Betriebsleiter),Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,Min. 2 Türen auf der rechten Längsseite,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft
Was kann die Genehmigungsbehörde bei auswärtigen Unternehmern anordnen?,An behördlich zugelassenen Plätzen in der Betriebssitzgemeinde.,Ja wenn er frei is muss er sogar.,kann verlangen dass der Unternehmer einen Vertreter am Ort des Betriebssitzes einsetzt.,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft,Hell-Elfenbein Farbton RAL 1015,Warnweste jaFeuerlöscher nein,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
Wie kann der Betrieb nach dem Tod des Unternehmers geführt werden?Nennen Sie Fristen!,Bei vollständiger Besetzung min 50kg,BereitstellungspreisPreis für die Beförderung Preis für Wartezeiten Zuschläge,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Einmal im Jahr durch das Eichamt (Mietwagen: alle 2 Jahre),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Der Erbe kann den Betrieb vorläufig weiterführen oder diese Befugnis auf dritte Übertrag.Frist: 3 Monate nach Ablauf der für die Ausschlagung der Erbschaft (6 Wochen) vorgesehene Frist muss Fachkundeprüfung abgelegt sein.,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
Welche Aufgaben hat die Industrie- & Handelskammer?,Werkvertrag,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.,Dienstleistungsvertrag,Interessenvertretung,Ja,Wenn keine Beförderungsabsicht vorliegt.,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO)
Wer erlässt die Taxiordnung?,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Landesregierung.Diese kann aber auch die Genehmigungsbehörde damit beauftragen.,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO),Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
Braucht man eine besondere Genehmigung wenn man Personen ins Ausland befördern möchte?,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Ja! Man muss sich informieren welche bilateralen Abkommen es zwischen beiden Staaten gibt.,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.,Nein,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft,Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,Min. 2 Türen auf der rechten Längsseite,Ja
Darf man im Ausland Personen zur Beförderung aufnehmen?,An behördlich zugelassenen Plätzen in der Betriebssitzgemeinde.,Ja wenn er frei is muss er sogar.,00 Promille,Nein. Personenbeförderung im Ausland ist verboten.,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Hell-Elfenbein Farbton RAL 1015,Warnweste jaFeuerlöscher nein,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO)
Was gilt bei einem Auslandsauftrag für das Funkgerät?,Was gilt bei einem Auslandsauftrag für das Funkgerät? Überprüfen ob es im jeweiligen Land betriebsbereit sein darf sonst ist es außer Betrieb zu setzen. (Ausgebaut im Kofferraum),BereitstellungspreisPreis für die Beförderung Preis für Wartezeiten Zuschläge,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Einmal im Jahr durch das Eichamt (Mietwagen: alle 2 Jahre),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Weiterleitung der Fahraufträge Vorbestellung durch Funk an die Taxen,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft
Mit welche zusätzlichen Kosten muss man bei einem Auslandsauftrag rechnen?(3),Werkvertrag,Bei besonderen Witterungsverhältnissen wie Schnee Regen Glatteis Nebel Hagel.,Unternehmer hat mit folgenden zusätzlichen Kosten zu rechnen:Mautgebühren ÜbernachtungsgebührenErhöhung der Lohnkosten durch Überstunden und Spesen,Ab dem 60. Lebensjahr muss eine besondere medizinische Eignungsprüfung bestanden werden.,Ja,Wenn keine Beförderungsabsicht vorliegt.,Benutzung Taxistand Halten in zweiter Reihe Busspurmitbenutzungsrecht,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
Unter welchen Bedingungen dürfen Tiere mit ins Ausland genommen werden?(4),Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Straßenverkerhsbbehörde (Landratsamt oder Stadtverwaltung),Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Den kürzesten Weg wenn der Fahrgast nichts anderes bestimmt,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
Wie berechnet sich die USt. bei Auslandsfahrten?,Impfpass TollwutimpfungLeine oder BeißkorbMikrochip oder Tätowierungen,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr,Man muss die gefahrenen km im Inland und im Ausland genau festhalten.Nur der Fahrtanteil im Inland ist Umsatzsteuerpflichtig.,Nein,Das Fahrzeug wird auf die Bestimmungen der BOKraft überprüft,Den verkehrsgünstigen Weg wenn der Fahrgast nichts anderes bestimmt,Min. 2 Türen auf der rechten Längsseite,Die Landesregierung oder die eingesetzte Genehmigungsbehörde (in Berlin LABO)
Welche Papiere & Dokumente hat der Fahrer bei der grenzüberschreitenden Personenbeförderung (ins Ausland) mitzuführen? (8),An behördlich zugelassenen Plätzen in der Betriebssitzgemeinde.,Reisepass/Ausweis Führerschein Personenbeförderungsschein (PSchein)FahrzeugscheinKonzassionsscheinintern. grüne VersicherungskarteVisumSozialversicherungsausweis,00 Promille,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.,Hell-Elfenbein Farbton RAL 1015,Warnweste jaFeuerlöscher nein,gilt bundesweit für alle Unternehmen die gewerblich und entgeltlich Personen befördern.
besondere Regeln bei Auslandsfahrten? (6),Bei vollständiger Besetzung min 50kg,BereitstellungspreisPreis für die Beförderung Preis für Wartezeiten Zuschläge,Taxischild OrdnungsnummerFarbe: hell-elfenbein RAL 1015,Einmal im Jahr durch das Eichamt (Mietwagen: alle 2 Jahre),Taxischild verdecken/abbauen anteilige km im Drittstaat festhalten „D“ im Nummernschild prüfen ob Funkgeräte betriebsbereit bleiben darfgrüne Kfz-Haftpflichtversicherungskarte (keine Pflicht in EU)nach Unfall weiterhin Beförderungspflichtig: entweder eigenes Ersatzfahrzeug oder Vermittlung eines Subunternehmens anbieten,Weiterleitung der Fahraufträge Vorbestellung durch Funk an die Taxen,Ja wenn der Auftrag am Betriebssitz eingegangen ist und eingetragen wurde.,Ja
