Was ist unter Eigenkapital in der Bilanz zu verstehen und wodurch wird es im Laufe eines Geschäftsjahres beeinflusst? ,Eigenkapital ist das Geld das ein Unternehmer in seinen Betrieb eingebracht hat. Das Eigenkapital wird beeinflusst,Bei der Anschaffung von neuen Fahrzeugen. (Finanzierung).,Durch Sicherungsübereignung des eigenen Fahrzeugs an eine Bank oder ein sonstiges Finanzierungsinstitut.,Ein ungesicherter Kredit der im Vertrauen auf die Person des Schuldners gegeben wird.,Bargeldlose Zahlung erfolgt durch Scheck Wechsel Überweisung oder im Lastschriftverfahren,letzung von Leben Gesundheit Eigentum oder sonstigen Rechts vom Unternehmer Schadensersatz verlangen,unerlaubter Handlung,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist
Was sind geringwertige Wirtschaftsgüter?,• sich eines Bürgen zu bedienen.,Die Güter mit Anschaffungskosten bis 150 € (ohne Mehrwertsteuer).,• das Betriebsvermögen,• Aufnahme von Krediten Darlehn oder Hypotheken,der Gewinn,Stammkapital muss 25.000 € betragen,der Gewinn,• das Betriebsvermögen
Welche Besonderheit gilt für die Abschreibung von geringwertigen Wirtschaftsgütern?,•Eigentumsvorbehalt - der Käufer bleibt so lange,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.,Diese Güter können im Jahr der Anschaffung abgeschrieben werden. Würde der Gegenstand einen Anschaffungspreis unter 50 € haben so darf man ihn sofort als Kosten (Betriebsbedarf) geltend machen.,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.
Erklären Sie den Unterschied zwischen der linearen und der degressiven Abschreibung!,• Körperschaftsteuer nicht zu entrichten,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,Lineare Abschreibung bedeutet dass abschreibender Betrag jedes Jahr gleich groß ist. Anschaffungspreis geteilt durch Abschreibungsdauer = jährliche Abschreibungsrate. Degressive Abschreibung bedeutet dass zuerst mit einem sehr hohen Abschreibungsbetrag zu tun der dann von Jahr zu Jahr kleiner wird. Bis max. 20% vom Restwert des Vorjahres abschreiben darf.,Nein,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,Genauso wenn er selbst gefahren wäre.
Ein Unternehmen hat Umsatz von netto 6.000 € + 19% MwSt. Im gleichen Zeitraum werden Waren mit MwSt.-Anteil von 430 € erworben. Errechnen Sie anhand dieser Zahlen die Umsatzsteuerschuld,Ein ungesicherter Kredit der im Vertrauen auf die Person des Schuldners gegeben wird.,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,19% von 6.000 € = 1140 € _ 1140 € Umsatzsteuer 430 € Vorsteuer 710 € Zahllast,Bargeldlose Zahlung erfolgt durch Scheck Wechsel Überweisung oder im Lastschriftverfahren,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,unerlaubter Handlung
Von welchem Rechnungsbetrag ist die MwSt. gesondert auszuweisen?,Betriebsausgaben,Wenn der Rechnungsbetrag 100 € übersteigt ist die MwSt. auf der Rechnung getrennt auszuweisen.,• das Betriebsvermögen,• Aufnahme von Krediten Darlehn oder Hypotheken,der Gewinn,Stammkapital muss 25.000 € betragen,der Gewinn,• das Betriebsvermögen
Was ist Skonto?,Der Scheck,• Journal - Aufzeichnung sämtlicher Geschäftsvorfälle.,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.,mbH bedeutet “mit beschränkter Haftung“,Skonto ist ein Rabatt für schnelle Bezahlung (einer Rechnung) innerhalb vorgegebenes Zahlungszieles,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.
Was ist unter dem Begriff „Zahlungsziel“ zu verstehen?,Ja er haftet aus Gefährdungshaftung nach StVO und aus unerlaubter Handlung.,Wiedergaben der abgesandten Handelsbriefe,Zahlungsziel ist vereinbarter Zeitpunkt zwischen Schuldner und Gläubiger zu dem eine Schuld zu begleichen ist.,Nein,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,Genauso wenn er selbst gefahren wäre.
Welche Möglichkeiten hat Unternehmer sein Kapital zu erweitern?,letzung von Leben Gesundheit Eigentum oder sonstigen Rechts vom Unternehmer Schadensersatz verlangen,• Aufnahme von Krediten Darlehn oder Hypotheken,unerlaubter Handlung,• durch Fremdkapital.,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,der Gewinn
Nennen Sie 4 Möglichkeiten zur Kreditsicherung. Auf welche Art und Weise kann man einen Kredit sichern?,Stammkapital muss 25.000 € betragen,wertvollen beweglichen Dinge wie z.B. Wertpapiere Fahrzeuge Gebäude Lebensversicherung Wechsel,• Abtretung von Forderungen,Belastung eines Grundstücks bzw. eines Hauses (Hypothek Grundschuld),Abtretung von Forderungen,Betriebsausgaben,• sich eines Bürgen zu bedienen.,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.
Beschreiben Sie die Unterschiede zwischen einer Sicherungsübereignung und der Vereinbarung eines Eigentumsvorbehalts.,•Sicherungsübereignung - das Eigentum wird an einer Sache übertragen aber diese verbleibt in unmittelbarem Besitz ursprüngliches Eigentümers,Eigentumsvorbehalt - der Käufer bleibt so lange Eigentümer verkaufter Sache bis der Käufer diese vollständig bezahlt hat,• Journal - Aufzeichnung sämtlicher Geschäftsvorfälle.,•Eigentumsvorbehalt - der Käufer bleibt so lange,mbH bedeutet “mit beschränkter Haftung“,Der Scheck,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;
Beeinflusst die Umsatzsteuer den Gewinn des Unternehmens?,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,im Interesse der Besteuerung zu erfüllen,Nein die Umsatzsteuer beeinflusst den Gewinn nicht sie stellt durchlaufenden Posten dar.,• Körperschaftsteuer nicht zu entrichten,Nein,Ja er haftet aus Gefährdungshaftung nach StVO und aus unerlaubter Handlung.,Genauso wenn er selbst gefahren wäre.,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist
Nennen Sie Personen- und Kapitalgesellschaften! Wie heißen die wichtigsten Gesellschaftsformen?,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,Bei der Anschaffung von neuen Fahrzeugen. (Finanzierung).,Personengesellschaften: KG-Kommanditgesellschaft; BGB-Gesellschaft; oHGoffene Handelsgesellschaft; Stille Gesellschaft.,Kapitalgesellschaften: GmbH-Gesellschaft mit beschränkter Haftung AG-Aktiengesellschaft; eG-eingetragene Genossenschaf,Bargeldlose Zahlung erfolgt durch Scheck Wechsel Überweisung oder im Lastschriftverfahren,letzung von Leben Gesundheit Eigentum oder sonstigen Rechts vom Unternehmer Schadensersatz verlangen,unerlaubter Handlung,• das Betriebsvermögen
Welches sind die Hauptunterscheidungsmerkmale zwischen Personen- und Kapitalgesellschaften?,• sich eines Bürgen zu bedienen.,Bei den Personengesellschaften haften die Gesellschafter unbeschränkt.,• das Betriebsvermögen,• Aufnahme von Krediten Darlehn oder Hypotheken,der Gewinn,Bei den Kapitalgesellschaften ist die Haftung auf das Gesellschaftskapital beschränkt,der Gewinn,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.
Wer ist Kaufmann?,Kaufmann ist deren Firma ( als KG OHG GmbH) beim zuständigen Amtsgericht in Handelsregister eintragen ist.,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.,mbH bedeutet “mit beschränkter Haftung“,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,Genauso wenn er selbst gefahren wäre.
Was bedeutet eigentlich die Abkürzung mbH und wie hoch muss das Stammkapital sein?,• Körperschaftsteuer nicht zu entrichten,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,• mbH bedeutet “mit beschränkter Haftung“,Nein,• Stammkapital muss 25.000 € betragen,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,unerlaubter Handlung
Was bedeutet eigentlich GmbH und wie hoch ist das Stammkapital und Zahl der Gründungsmitglieder der GmbH?,Ein ungesicherter Kredit der im Vertrauen auf die Person des Schuldners gegeben wird.,GmbH bedeutet: “Gesellschaft mit beschränkter Haftung“,unerlaubter Handlung,Bargeldlose Zahlung erfolgt durch Scheck Wechsel Überweisung oder im Lastschriftverfahren,Stammkapital in Höhe von 25.000 €,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,kann „1-Mann-GmbH“ sein,• das Betriebsvermögen
Welche Voraussetzungen sind hinsichtlich Gründungsmitglieder und Höhe des Stammkapitals bei AG-Gründung einzuhalten?,• AG – Aktiengesellschaft,• Abtretung von Forderungen,• AG-Grundkapital in Höhe von 50.000 €,• Aufnahme von Krediten Darlehn oder Hypotheken,• eine oder mehrere Personen.,Stammkapital muss 25.000 € betragen,der Gewinn,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.
Nennen Sie ein übliches bargeldloses Zahlungsmittel!,Der Scheck,• Journal - Aufzeichnung sämtlicher Geschäftsvorfälle.,Der Scheck.,mbH bedeutet “mit beschränkter Haftung“,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,Genauso wenn er selbst gefahren wäre.
Ein Kunde zahlt seine Rechnungen nicht. Was können Sie unternehmen?,Ja er haftet aus Gefährdungshaftung nach StVO und aus unerlaubter Handlung.,•Schuldner wird schriftlich durch Mahnbescheid zur Zahlung aufgefordert,zahlt er nicht kommt es zur Zwangsvollstreckung: Einbringen der Schuld erfolgt durch den Gerichtsvollzieher • zahlt er nicht kann der Gerichtsvollzieher das Vermögen des Schuldners pfänden und auch sofort einen Qffenbarungseid abnehmen. Der rechtskräftige Mahnbescheid ist über einen Zeitraum von 30 Jahren zu vollstrecken,Nein,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,der Gewinn
Nennen Sie 4 Positionen des Anlagevermögens.,letzung von Leben Gesundheit Eigentum oder sonstigen Rechts vom Unternehmer Schadensersatz verlangen,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw,unerlaubter Handlung,Bargeldlose Zahlung erfolgt durch Scheck Wechsel Überweisung oder im Lastschriftverfahren,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.
Nennen Sie 4 Positionen des Umlaufvermögens,Stammkapital muss 25.000 € betragen,Kaufmann ist deren Firma ( als KG OHG GmbH) beim zuständigen Amtsgericht in Handelsregister eintragen ist.,• Abtretung von Forderungen,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,• Aufnahme von Krediten Darlehn oder Hypotheken,Betriebsausgaben,• das Betriebsvermögen,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;
Was ist unter der “Liquidität“ eines Unternehmens zu verstehen?,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,Ein- und Ausgabebuchführung.,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen,•Eigentumsvorbehalt - der Käufer bleibt so lange,mbH bedeutet “mit beschränkter Haftung“,Der Scheck,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist
Welche Aufzeichnungen muss der Unternehmer führen wenn er Personal beschäftigt?,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,im Interesse der Besteuerung zu erfüllen,Wiedergaben der abgesandten Handelsbriefe,• Körperschaftsteuer nicht zu entrichten,Nein,Er ist verpflichtet für jeden Arbeitnehmer auch für Aushilfen ein Lohnkonto (Lohnbuch) zu führen,Genauso wenn er selbst gefahren wäre.,• das Betriebsvermögen
Was ist ein Gewerbe?,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,Gewerbe ist eine selbständige planmäßige Betätigung die in der Absicht der Gewinnerzielung ausgeübt wird,Durch Sicherungsübereignung des eigenen Fahrzeugs an eine Bank oder ein sonstiges Finanzierungsinstitut.,Ein ungesicherter Kredit der im Vertrauen auf die Person des Schuldners gegeben wird.,Bargeldlose Zahlung erfolgt durch Scheck Wechsel Überweisung oder im Lastschriftverfahren,letzung von Leben Gesundheit Eigentum oder sonstigen Rechts vom Unternehmer Schadensersatz verlangen,unerlaubter Handlung,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.
Was versteht man unter einer Firma?,• sich eines Bürgen zu bedienen.,Stammkapital muss 25.000 € betragen,• das Betriebsvermögen,• Aufnahme von Krediten Darlehn oder Hypotheken,der Gewinn,Firma ist der Name unter der ein Kaufmann sein Geschäft betreibt und seine Unterschrift abgibt,der Gewinn,Genauso wenn er selbst gefahren wäre.
Was ist bei Gründung einer Firma zu tun?,•Eigentumsvorbehalt - der Käufer bleibt so lange,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,• Gewerbeanmeldung,mbH bedeutet “mit beschränkter Haftung“,• Erlaubnis beantragen (Berufszugangsverordnung erfüllen),Alle Unternehmer deren Firma in das Handelsregister eingetragen is,• Eintragung ins Handelsregister vornehmen lassen.,unerlaubter Handlung
Unter welchen Voraussetzungen wird die Firma ins Handelsregister eingetragen?,Geschäftspartner darf nicht durch irreführende Bezeichnung über die wesentlichen geschäftlichen Verhältnisse (z.B. den eigentlichen Geschäftszweck) getäuscht werden.,• muss zur Kennzeichnung des Kaufmannes geeignet sein,Genauso wenn er selbst gefahren wäre.,Nein,• Unterscheidungskraft besitzen,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,• Gesellschafts- sowie Haftungsverhältnis muss offen gelegt sein und,• das Betriebsvermögen
Was ist kaufmännische Buchführung?,Ein ungesicherter Kredit der im Vertrauen auf die Person des Schuldners gegeben wird.,Handelsbücher Inventare Bilanzen nach den sog. Grundsätzen ordnungsgemäßer Buchführung zu führen.,unerlaubter Handlung,• im Interesse der Besteuerung zu erfüllen.,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.
Durch Gründung welcher Gesellschaftsform kann das Privatvermögen der Haftung entzogen werden?,Betriebsausgaben,• durch Gründung einer Kapitalgesellschaft (GmbH AG).,• das Betriebsvermögen,bei den Personengesellschaften - nur für die Kommanditisten in einer Kommanditgesellschaft (KG),der Gewinn,Stammkapital muss 25.000 € betragen,der Gewinn,Genauso wenn er selbst gefahren wäre.
Wie werden Personengesellschaften besteuert?,Der Scheck,• Journal - Aufzeichnung sämtlicher Geschäftsvorfälle.,Die Personengesellschaft wird nicht besteuert; ihr Gewinn wird einheitlich festgestellt auf die Gesellschafter verteilt und dort zur Einkommensteuer herangezogen,mbH bedeutet “mit beschränkter Haftung“,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.,der Gewinn
Welche besondere Steuer muss von einer Kapitalgesellschaft entrichtet werden?,Ja er haftet aus Gefährdungshaftung nach StVO und aus unerlaubter Handlung.,Wiedergaben der abgesandten Handelsbriefe,Genauso wenn er selbst gefahren wäre.,Nein,Die Körperschaftsteuer.,Die Fähigkeit allen Zahlungsverpflichtungen fristgerecht nachzukommen.,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;,Kasse Bank Vorräte offene Forderungen Besitzwechsel usw.
Welchen Hauptvorteil bietet die Kapitalgesellschaft gegenüber der Personengesellschaft?,letzung von Leben Gesundheit Eigentum oder sonstigen Rechts vom Unternehmer Schadensersatz verlangen,Durch Sicherungsübereignung des eigenen Fahrzeugs an eine Bank oder ein sonstiges Finanzierungsinstitut.,Der Unternehmer wird von der unbeschränkten Haftung befreit. Das Risiko erstreckt sich auf das Gesellschaftskapital.,Bargeldlose Zahlung erfolgt durch Scheck Wechsel Überweisung oder im Lastschriftverfahren,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist,• Jeder Geschäftsfähige jeder für geschäftsfähig Erklärte;
Was sind die Hauptmerkmale einer GmbH & Co. KG?,Stammkapital muss 25.000 € betragen,Kaufmann ist deren Firma ( als KG OHG GmbH) beim zuständigen Amtsgericht in Handelsregister eintragen ist.,• Körperschaftsteuer nicht zu entrichten,• sich eines Bürgen zu bedienen.,• Haftung der Gesellschafter ist auf das Gesellschaftskapital beschränkt.,Betriebsausgaben,• das Betriebsvermögen,sie beginnt mit dem Schluss des Jahres in dem der Anspruch entstanden ist
Welche Risiken hat ein Taxi- oder Mietwagenunternehmer besonders zu bedenken?,Alle Unternehmer deren Firma in das Handelsregister eingetragen is,aus der Beförderung von Personen resultierenden hohen finanziellen persönlichen und strafrechtlichen Risiken,• hohe Kapital- und Personalintensität,• Konjunkturlage und öffentliche Wettbewerb,• Einengung unternehmerischer Tätigkeit durch gesetzliche Beschränkungen.,Der Scheck,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.,• das Betriebsvermögen
Welche wettbewerbsrechtlichen Vorschriften hat der Unternehmer zu beachten?,• Gesetz gegen unlauteren Wettbewerb (UWG),• Gesetz gegen Wettbewerbsbeschränkungen.,Wiedergaben der abgesandten Handelsbriefe,• Körperschaftsteuer nicht zu entrichten,Nein,Ja er haftet aus Gefährdungshaftung nach StVO und aus unerlaubter Handlung.,Genauso wenn er selbst gefahren wäre.,Fahrzeuge Gebäude Betriebsausstattung Grundstücke usw.
Was bezweckt das Gesetz gegen den unlauteren Wettbewerb (UWG)?,Kredit ist ein Darlehen oder einen Zahlungsaufschub (Stundung).,Die guten Sitten im geschäftlichen Verkehr zu wahren. Unlauter ist Wettbewerb zum Beispiel wenn,• er auf täuschenden oder irreführenden Angaben beruht,• durch ihn psychologischer Kaufzwang ausgeübt wird,• er zur Geschäftsverletzung durch Anschwärzung von Mitkonkurrenten führt,• Angestellte und sonstiges Personal bestochen werden,• gewerberechtliche Vorschriften verletzt werden.,Genauso wenn er selbst gefahren wäre.
Welche Handlungsweise eines TUnternehmers stellt z.B. einen Verstoß gegen das UWG dar?,Das Kassieren geringeres Entgeltes als es geltende Taxitarifordnung vorsieht.,Stammkapital muss 25.000 € betragen,• das Betriebsvermögen,• Aufnahme von Krediten Darlehn oder Hypotheken,der Gewinn,Stammkapital muss 25.000 € betragen,der Gewinn,unerlaubter Handlung
